,date,ninsee,no2,o3,pm10
400581,04/11/2017,75110,25,21,27
400585,04/11/2017,75114,23,21,25
401331,04/11/2017,78575,12,25,19
401405,04/11/2017,91122,14,24,20
401447,04/11/2017,91272,14,25,20
401473,04/11/2017,91377,18,23,22
401497,04/11/2017,91471,15,24,20
401499,04/11/2017,91477,17,24,20
401564,04/11/2017,92002,18,23,22
401569,04/11/2017,92014,19,23,24
401601,04/11/2017,93005,23,21,29
401603,04/11/2017,93007,21,21,27
401606,04/11/2017,93013,23,21,25
401609,04/11/2017,93027,25,21,25
401610,04/11/2017,93029,23,21,25
401631,04/11/2017,93066,28,22,27
401638,04/11/2017,93078,26,21,30
401642,04/11/2017,94003,20,22,24
401655,04/11/2017,94037,22,21,25
401831,04/11/2017,95527,21,23,29
401883,05/11/2017,75103,33,29,15
401885,05/11/2017,75105,32,29,15
401890,05/11/2017,75110,32,29,15
401894,05/11/2017,75114,32,28,15
402640,05/11/2017,78575,23,31,14
402714,05/11/2017,91122,25,31,14
402756,05/11/2017,91272,26,31,14
402782,05/11/2017,91377,32,30,15
402806,05/11/2017,91471,27,31,14
402808,05/11/2017,91477,30,31,15
402873,05/11/2017,92002,33,30,15
402878,05/11/2017,92014,33,29,15
402910,05/11/2017,93005,34,30,19
402912,05/11/2017,93007,31,30,17
402915,05/11/2017,93013,31,30,17
402918,05/11/2017,93027,32,30,17
402919,05/11/2017,93029,30,30,17
402940,05/11/2017,93066,34,29,15
402947,05/11/2017,93078,35,30,20
402951,05/11/2017,94003,33,28,15
402964,05/11/2017,94037,32,28,15
403140,05/11/2017,95527,32,30,19
403192,06/11/2017,75103,39,21,35
403194,06/11/2017,75105,37,22,34
403199,06/11/2017,75110,41,20,37
403203,06/11/2017,75114,38,21,34
403949,06/11/2017,78575,29,24,35
404023,06/11/2017,91122,31,23,35
404065,06/11/2017,91272,32,24,35
404091,06/11/2017,91377,39,22,35
404115,06/11/2017,91471,33,23,35
404117,06/11/2017,91477,37,22,35
404182,06/11/2017,92002,40,21,35
404187,06/11/2017,92014,40,21,35
404219,06/11/2017,93005,40,23,35
404221,06/11/2017,93007,38,22,37
404224,06/11/2017,93013,37,21,37
404227,06/11/2017,93027,39,21,39
404228,06/11/2017,93029,38,21,37
404249,06/11/2017,93066,42,20,42
404256,06/11/2017,93078,39,23,35
404260,06/11/2017,94003,39,21,34
404273,06/11/2017,94037,38,21,35
404449,06/11/2017,95527,32,24,35
404501,07/11/2017,75103,47,9,55
404503,07/11/2017,75105,45,9,52
404508,07/11/2017,75110,53,10,59
404512,07/11/2017,75114,45,10,52
405258,07/11/2017,78575,33,27,32
405332,07/11/2017,91122,34,24,42
405374,07/11/2017,91272,35,26,37
